misra1,misra2,poet
رنجش ہی سہی دل ہی دکھانے کے لیے آ ,آ پھر سے مجھے چھوڑ کے جانے کے لیے آ ,Ahmad Faraz
اب کے ہم بچھڑے تو شاید کبھی خوابوں میں ملیں ,جس طرح سوکھے ہوئے پھول کتابوں میں ملیں ,Ahmad Faraz
ہوا ہے تجھ سے بچھڑنے کے بعد یہ معلوم ,کہ تو نہیں تھا ترے ساتھ ایک دنیا تھی ,Ahmad Faraz
کس کس کو بتائیں گے جدائی کا سبب ہم ,تو مجھ سے خفا ہے تو زمانے کے لیے آ ,Ahmad Faraz
تم تکلف کو بھی اخلاص سمجھتے ہو فرازؔ ,دوست ہوتا نہیں ہر ہاتھ ملانے والا ,Ahmad Faraz
کسی کو گھر سے نکلتے ہی مل گئی منزل ,کوئی ہماری طرح عمر بھر سفر میں رہا ,Ahmad Faraz
دل کو تری چاہت پہ بھروسہ بھی بہت ہے ,اور تجھ سے بچھڑ جانے کا ڈر بھی نہیں جاتا ,Ahmad Faraz
آج اک اور برس بیت گیا اس کے بغیر ,جس کے ہوتے ہوئے ہوتے تھے زمانے میرے ,Ahmad Faraz
زندگی سے یہی گلہ ہے مجھے ,تو بہت دیر سے ملا ہے مجھے ,Ahmad Faraz
آنکھ سے دور نہ ہو دل سے اتر جائے گا ,وقت کا کیا ہے گزرتا ہے گزر جائے گا ,Ahmad Faraz
اس کو جدا ہوئے بھی زمانہ بہت ہوا ,اب کیا کہیں یہ قصہ پرانا بہت ہوا ,Ahmad Faraz
اس سے پہلے کہ بے وفا ہو جائیں ,کیوں نہ اے دوست ہم جدا ہو جائیں ,Ahmad Faraz
اگر تمہاری انا ہی کا ہے سوال تو پھر ,چلو میں ہاتھ بڑھاتا ہوں دوستی کے لیے ,Ahmad Faraz
ہم کو اچھا نہیں لگتا کوئی ہم نام ترا ,کوئی تجھ سا ہو تو پھر نام بھی تجھ سا رکھے ,Ahmad Faraz
اور فرازؔ چاہئیں کتنی محبتیں تجھے ,ماؤں نے تیرے نام پر بچوں کا نام رکھ دیا ,Ahmad Faraz
اس زندگی میں اتنی فراغت کسے نصیب ,اتنا نہ یاد آ کہ تجھے بھول جائیں ہم ,Ahmad Faraz
ڈھونڈ اجڑے ہوئے لوگوں میں وفا کے موتی ,یہ خزانے تجھے ممکن ہے خرابوں میں ملیں ,Ahmad Faraz
قربتیں لاکھ خوبصورت ہوں ,دوریوں میں بھی دل کشی ہے ابھی ,Ahmad Faraz
دل بھی پاگل ہے کہ اس شخص سے وابستہ ہے ,جو کسی اور کا ہونے دے نہ اپنا رکھے ,Ahmad Faraz
کچھ اس طرح سے گزاری ہے زندگی جیسے ,تمام عمر کسی دوسرے کے گھر میں رہا ,Ahmad Faraz
عاشقی میں میرؔ جیسے خواب مت دیکھا کرو ,باؤلے ہو جاؤ گے مہتاب مت دیکھا کرو ,Ahmad Faraz
تیری باتیں ہی سنانے آئے ,دوست بھی دل ہی دکھانے آئے ,Ahmad Faraz
بندگی ہم نے چھوڑ دی ہے فرازؔ ,کیا کریں لوگ جب خدا ہو جائیں ,Ahmad Faraz
تو محبت سے کوئی چال تو چل ,ہار جانے کا حوصلہ ہے مجھے ,Ahmad Faraz
چلا تھا ذکر زمانے کی بے وفائی کا ,سو آ گیا ہے تمہارا خیال ویسے ہی ,Ahmad Faraz
اب اور کیا کسی سے مراسم بڑھائیں ہم ,یہ بھی بہت ہے تجھ کو اگر بھول جائیں ہم ,Ahmad Faraz
